"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"66",66,66,66,67,"fd433632-7144-11e5-ba71-058fbc01cf0b","2013-04-23 22:19:23",22,3,4,"male",1,"protodog","0-1","50-89","Golden Retriever","Pure Breed","Sporting",20,1.0494109405,-0.627098167910996,-1.28549937012005
"67",67,67,67,68,"fd435608-7144-11e5-ba71-058fbc01cf0b","2013-04-27 17:33:10",17,7,4,"female",1,"expert","2-4","50-89","Chesapeake Bay Retriever","Pure Breed","Sporting",26,2.2375449074,-1.29545014047976,2.01023964751907
"68",68,68,68,69,"fd4373e0-7144-11e5-ba71-058fbc01cf0b","2013-04-24 21:06:53",21,4,4,"female",1,"stargazer","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",20,4.4726894493,-0.587192641950779,-0.710320631090451
"69",69,69,69,70,"fd43a202-7144-11e5-ba71-058fbc01cf0b","2013-04-25 02:05:40",2,5,4,"female",1,"socialite","5-7","20-49","American Eskimo Dog-Russell Terrier Mix","Cross Breed","",20,21.102933723,-0.864263410957682,-0.397774007038756
"70",70,70,70,71,"fd43a4c8-7144-11e5-ba71-058fbc01cf0b","2013-04-25 21:06:43",21,5,4,"female",1,"renaissance-dog","0-1","50-89","Labrador Retriever","Pure Breed","Sporting",30,10.239994013,-1.3024508419679,0.825350889231925
"71",71,71,71,72,"fd43aef0-7144-11e5-ba71-058fbc01cf0b","2013-04-26 00:11:31",0,6,4,"female",1,"protodog","5-7","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0038243177358,0.53191714572408,-0.193524263980654
"72",72,72,72,73,"fd43b936-7144-11e5-ba71-058fbc01cf0b","2013-04-26 11:21:41",11,6,4,"male",0,"expert","5-7","50-89","Cocker Spaniel","Pure Breed","Sporting",20,0.010480019497,1.74366065218746,2.30379694472848
"73",73,73,73,74,"fd440d6e-7144-11e5-ba71-058fbc01cf0b","2013-05-09 15:33:51",15,5,5,"female",0,"stargazer",">10",">139","Shih Tzu","Pure Breed","Toy",20,0.05071028265,0.743302324701396,2.61790598686617
"74",74,74,74,75,"fd441034-7144-11e5-ba71-058fbc01cf0b","2013-05-03 21:03:36",21,6,5,"male",1,"ace","2-4","20-49","Australian Cattle Dog-Border Collie Mix","Cross Breed","",25,1.5473480903,-0.79007087077042,-2.59773606783487
"75",75,75,75,76,"fd4415b6-7144-11e5-ba71-058fbc01cf0b","2013-06-10 14:26:03",14,2,6,"female",1,"stargazer","2-4","0-19","Afghan Hound","Pure Breed","Hound",20,0.0024738060371,0.743302324701396,2.61790598686617
"76",76,76,76,77,"fd4458aa-7144-11e5-ba71-058fbc01cf0b","2013-06-11 13:56:48",13,3,6,"female",1,"protodog","7-10","20-49","Portuguese Water Dog","Pure Breed","Working",20,0.70560550682,-0.435819572416114,-0.555770488672417
"77",77,77,77,78,"fd4469da-7144-11e5-ba71-058fbc01cf0b","2013-05-26 17:34:41",17,1,5,"female",1,"ace","7-10","90-139","Labrador Retriever","Pure Breed","Sporting",20,0.0015655458096,-1.69331037564894,0.893262437779645
"78",78,78,78,79,"fd448dac-7144-11e5-ba71-058fbc01cf0b","2013-06-28 17:24:32",17,6,6,"female",1,"renaissance-dog","7-10","20-49","Cocker Spaniel","Pure Breed","Sporting",23,14.36111532,-1.45545431951596,1.66708686458553
"79",79,79,79,80,"fd44e57c-7144-11e5-ba71-058fbc01cf0b","2013-05-15 17:07:14",17,4,5,"female",1,"charmer","5-7","20-49","German Shepherd Dog","Pure Breed","Herding",23,0.0049884259246,-2.18643812962106,1.14969379985957
"80",80,80,80,81,"fd44f68e-7144-11e5-ba71-058fbc01cf0b","2013-06-04 18:58:44",18,3,6,"male",1,"stargazer","0-1",">139","Shih Tzu","Pure Breed","Toy",20,0.021543006823,-1.24826487137434,0.675905097427585
"81",81,81,81,82,"fd452fa0-7144-11e5-ba71-058fbc01cf0b","2013-05-21 16:53:42",16,3,5,"female",1,"stargazer","2-4","0-19","Akita","Pure Breed","Working",23,0.0015588173411,-1.94277685958603,1.32215815476822
"82",82,82,82,83,"fd453496-7144-11e5-ba71-058fbc01cf0b","2013-05-22 00:23:03",0,4,5,"female",1,"ace","2-4","20-49","Puggle","Popular Hybrid","",20,0.042435428851,-0.469435238893781,0.295529751811481
"83",83,83,83,84,"fd453b6c-7144-11e5-ba71-058fbc01cf0b","2013-05-23 18:52:19",18,5,5,"male",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",28,0.47895833333,-3.0083177195746,1.57707940332611
"84",84,84,84,85,"fd455250-7144-11e5-ba71-058fbc01cf0b","2013-05-26 12:40:01",12,1,5,"female",1,"socialite","5-7","20-49","Cocker Spaniel","Pure Breed","Sporting",20,0.0073403996097,1.54358898669025,2.36661875315602
"85",85,85,85,86,"fd4560f6-7144-11e5-ba71-058fbc01cf0b","2013-06-02 14:29:47",14,1,6,"male",1,"renaissance-dog",">10","0-19","Mixed","Mixed Breed/ Other/ I Don't Know","",20,2.1547636452,2.6985616027448,1.44144417167823
"86",86,86,86,87,"fd456e16-7144-11e5-ba71-058fbc01cf0b","2013-05-28 17:35:19",17,3,5,"female",0,"maverick","2-4","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,3.628919347,-0.151789156216686,1.45199469451652
"87",87,87,87,88,"fd458964-7144-11e5-ba71-058fbc01cf0b","2013-05-29 18:25:56",18,4,5,"female",1,"charmer","2-4","20-49","American Pit Bull Terrier-Boston Terrier Mix","Cross Breed","",20,0.094918981483,-1.20598783557888,1.23819114759695
"88",88,88,88,89,"fd45ae08-7144-11e5-ba71-058fbc01cf0b","2013-06-04 18:53:41",18,3,6,"male",0,"ace",">10",">139","Shih Tzu","Pure Breed","Toy",32,11.575051897,-2.33841900762306,2.37357375289127
"89",89,89,89,90,"fd45aeda-7144-11e5-ba71-058fbc01cf0b","2013-06-04 18:51:18",18,3,6,"male",0,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",21,0.80292939815,-1.85768629363965,0.978739558472952
"90",90,90,90,91,"fd45b452-7144-11e5-ba71-058fbc01cf0b","2013-06-05 16:52:08",16,4,6,"male",1,"stargazer","2-4","20-49","Cockapoo","Popular Hybrid","",20,0.0016678849935,-1.44964910561391,1.0657267926883
"91",91,91,91,92,"fd45c104-7144-11e5-ba71-058fbc01cf0b","2013-06-06 16:58:48",16,5,6,"male",1,"expert","2-4","0-19","Yorkshire Terrier-Maltese Mix","Cross Breed","",20,0.024376218324,-0.125081851738961,0.273083259089777
"92",92,92,92,93,"fd45ea44-7144-11e5-ba71-058fbc01cf0b","2013-06-08 23:44:06",23,7,6,"male",1,"einstein","0-1","0-19","Mixed","Mixed Breed/ Other/ I Don't Know","",20,5.6341684941,-0.148643164664522,-1.98786768943246
"93",93,93,93,94,"fd45f462-7144-11e5-ba71-058fbc01cf0b","2013-06-10 15:21:50",15,2,6,"male",1,"stargazer","0-1",">139","Shih Tzu","Pure Breed","Toy",20,0.0016800682306,0.743302324701396,2.61790598686617
"94",94,94,94,95,"fd45f5f2-7144-11e5-ba71-058fbc01cf0b","2013-06-11 03:12:36",3,3,6,"male",1,"socialite","2-4","20-49","Pembroke Welsh Corgi","Pure Breed","Herding",20,0.055583576996,0.53191714572408,-0.193524263980654
"95",95,95,95,96,"fd4615dc-7144-11e5-ba71-058fbc01cf0b","2013-06-15 17:22:11",17,7,6,"male",1,"socialite","5-7","0-19","Dachshund","Pure Breed","Hound",20,0.053212719302,-1.32781847059639,1.15195897014262
